map_uid;login;ubiname;team;position;round;total_points;score;checkpoints;end_match;time
jWPhzLJGafQDPSoXtnLT6PZfmH2;cncibHERSXeVpllZONllTA;Rh3torique;\N;1;1;500;46858;3773,13818,19773,27805,37469,41214,45812,46858;0;2025-04-02 18:20:14
jWPhzLJGafQDPSoXtnLT6PZfmH2;JvRadosZS-SZUPngNn5IYA;Venn.jpg;\N;2;1;485;47107;3833,13794,19726,28198,37777,41525,46052,47107;0;2025-04-02 18:20:14
jWPhzLJGafQDPSoXtnLT6PZfmH2;LASf-NPUSm2VlWOV6W3ybA;mshk_frede;\N;3;1;470;47218;3737,13751,19683,27702,37654,41482,46118,47218;0;2025-04-02 18:20:14
jWPhzLJGafQDPSoXtnLT6PZfmH2;jBT0kLm1RLOrAaPEk38wAA;miles.TM;\N;4;1;455;47294;3814,13802,19739,27908,37782,41512,46158,47294;0;2025-04-02 18:20:14
jWPhzLJGafQDPSoXtnLT6PZfmH2;Hp6vj6FuTHiHS7xyeZYVmg;Javas..;\N;5;1;443;47564;3788,13865,20026,28122,37958,41875,46478,47564;0;2025-04-02 18:20:14
jWPhzLJGafQDPSoXtnLT6PZfmH2;P5wa0Zj4TGmG2AyT6hi5wg;SparkTheYoofer;\N;6;1;431;47582;3779,13862,19944,28042,37974,41753,46455,47582;0;2025-04-02 18:20:14
jWPhzLJGafQDPSoXtnLT6PZfmH2;-PfCgIQZRy6TKWQ2_j0Eww;NuPrime_TM;\N;7;1;420;47606;3788,14028,20119,28095,37964,41744,46455,47606;0;2025-04-02 18:20:14
jWPhzLJGafQDPSoXtnLT6PZfmH2;2F_SzL9qRKeIzJ2GlbgriA;J4K_TM;\N;8;1;409;47698;3904,14015,19973,28088,37977,41874,46622,47698;0;2025-04-02 18:20:14
jWPhzLJGafQDPSoXtnLT6PZfmH2;mJZx-6H9S6uOl96QKAnZcQ;Bimy..;\N;9;1;399;47704;3813,13775,19764,28112,38047,42012,46635,47704;0;2025-04-02 18:20:14
jWPhzLJGafQDPSoXtnLT6PZfmH2;Vq5ZN29fS_mQx8OZSIbdnA;indiedriver;\N;10;1;390;47808;3813,13941,20016,28018,37913,41970,46695,47808;0;2025-04-02 18:20:14
jWPhzLJGafQDPSoXtnLT6PZfmH2;FlcTcBmzRJ-c4Lxp-Mz3ZQ;DrShnizzle;\N;11;1;381;47838;3813,13955,20062,28068,38124,42028,46735,47838;0;2025-04-02 18:20:14
jWPhzLJGafQDPSoXtnLT6PZfmH2;sysKs8ExTw2GkZg8_Q_CZg;Mericle_;\N;12;1;373;47862;3809,13988,20212,28421,38187,42068,46755,47862;0;2025-04-02 18:20:14
