map_uid;login;ubiname;team;position;round;total_points;score;checkpoints;end_match;time
Fw7sGUQv5bQo9JvlIup8DdWIBbe;-2eFU_cwRCqgNd_FD0pbew;mime.cut;\N;1;1;500;52443;4475,8130,11902,17072,23131,31013,35618,40624,45399,52443;0;2025-04-23 18:20:13
Fw7sGUQv5bQo9JvlIup8DdWIBbe;P5wa0Zj4TGmG2AyT6hi5wg;SparkTheYoofer;\N;2;1;485;52718;4438,8158,11938,17165,23272,31189,35892,40792,45604,52718;0;2025-04-23 18:20:13
Fw7sGUQv5bQo9JvlIup8DdWIBbe;b2fWAvZLS-2mCDR63PjK0Q;Novu.;\N;3;1;470;52738;4506,8178,11924,17228,23325,31194,35902,40840,45624,52738;0;2025-04-23 18:20:13
Fw7sGUQv5bQo9JvlIup8DdWIBbe;yRigbMYiSeS2a2vLZIjbTA;InfernoTM.;\N;4;1;455;52810;4479,8134,11895,17148,23338,31362,36038,40970,45744,52810;0;2025-04-23 18:20:13
Fw7sGUQv5bQo9JvlIup8DdWIBbe;jBT0kLm1RLOrAaPEk38wAA;miles.TM;\N;5;1;443;52818;4434,8113,11888,17142,23261,31253,35908,40914,45684,52818;0;2025-04-23 18:20:13
Fw7sGUQv5bQo9JvlIup8DdWIBbe;Hp6vj6FuTHiHS7xyeZYVmg;Javas..;\N;6;1;431;52872;4449,8161,11954,17258,23415,31324,36018,40964,45709,52872;0;2025-04-23 18:20:13
Fw7sGUQv5bQo9JvlIup8DdWIBbe;duzYCzPgSsCSPOosBZJu6w;Liffey.;\N;7;1;420;52904;4504,8128,11968,17248,23354,31457,36158,41041,45809,52904;0;2025-04-23 18:20:13
Fw7sGUQv5bQo9JvlIup8DdWIBbe;V_vWwMxbQqO0GgDYtK3zTg;KNACKII-U.U-;\N;8;1;409;53002;4611,8295,12072,17358,23441,31424,36095,41024,45879,53002;0;2025-04-23 18:20:13
Fw7sGUQv5bQo9JvlIup8DdWIBbe;eUoobETZQnaDzkMcunurdA;Marius89..;\N;9;1;399;53028;4496,8242,12038,17298,23422,31423,36102,41090,45934,53028;0;2025-04-23 18:20:13
Fw7sGUQv5bQo9JvlIup8DdWIBbe;mJZx-6H9S6uOl96QKAnZcQ;Bimy..;\N;10;1;390;53168;4441,8082,11898,17182,23375,31326,36002,40951,45799,53168;0;2025-04-23 18:20:13
Fw7sGUQv5bQo9JvlIup8DdWIBbe;Z4Dl1Gb9QiS_EwV-Mtet5w;HUGH_JAN0S;\N;11;1;381;53191;4473,8168,12055,17244,23424,31369,36075,41074,45934,53191;0;2025-04-23 18:20:13
Fw7sGUQv5bQo9JvlIup8DdWIBbe;cncibHERSXeVpllZONllTA;Rh3torique;\N;12;1;373;53217;4391,8147,12008,17202,23365,31347,36028,40952,45774,53217;0;2025-04-23 18:20:13
Fw7sGUQv5bQo9JvlIup8DdWIBbe;LASf-NPUSm2VlWOV6W3ybA;mshk_frede;\N;13;1;365;53305;4398,8080,11808,17145,23315,31299,36235,41362,46124,53305;0;2025-04-23 18:20:13
Fw7sGUQv5bQo9JvlIup8DdWIBbe;AwqQ_0eAS1utNp97Bh6woQ;GoldGriot;\N;14;1;358;53598;4521,8247,12045,17595,23908,31933,36682,41730,46494,53598;0;2025-04-23 18:20:13
Fw7sGUQv5bQo9JvlIup8DdWIBbe;FlcTcBmzRJ-c4Lxp-Mz3ZQ;DrShnizzle;\N;15;1;351;53635;4458,8164,12025,17265,23482,31499,36492,41564,46399,53635;0;2025-04-23 18:20:13
Fw7sGUQv5bQo9JvlIup8DdWIBbe;o6R6oiSaQF-bUrczGVMJmg;br4MMO;\N;16;1;344;53645;4434,8133,11965,17322,23575,31578,36218,41514,46314,53645;0;2025-04-23 18:20:13
Fw7sGUQv5bQo9JvlIup8DdWIBbe;264RmPjsRV6taBtBmnwiSQ;krokzey;\N;17;1;338;53861;4419,8078,12018,17241,23352,32023,36710,41828,46584,53861;0;2025-04-23 18:20:13
Fw7sGUQv5bQo9JvlIup8DdWIBbe;2HxWwCaLRMy_ybI5oeFa0w;Nightlight-.-;\N;18;1;332;54113;4409,8075,11818,17092,23234,31222,35945,41293,46959,54113;0;2025-04-23 18:20:13
Fw7sGUQv5bQo9JvlIup8DdWIBbe;pHDLXTdHSVKk-XCRYKIhgg;Kopatych.xDD;\N;19;1;327;54630;4484,8195,11978,17288,23432,31533,36135,42418,47449,54630;0;2025-04-23 18:20:13
Fw7sGUQv5bQo9JvlIup8DdWIBbe;t5IlapErRhyfjWYqBAoVzg;Karlukki;\N;20;1;322;54771;4409,8115,11958,17252,23455,31533,36145,41240,45984,54771;0;2025-04-23 18:20:13
Fw7sGUQv5bQo9JvlIup8DdWIBbe;3q2MNAJISh6g6O2zCeJ2NA;LeftIsFaster;\N;21;1;317;55039;4538,8258,12095,17561,24092,32738,37738,42945,47899,55039;0;2025-04-23 18:20:13
Fw7sGUQv5bQo9JvlIup8DdWIBbe;nduQqIHTS8CA0rCPi6N0Pw;Glennralishh;\N;22;1;312;55574;4457,8194,12022,17694,24885,32869,37915,43222,48234,55574;0;2025-04-23 18:20:13
Fw7sGUQv5bQo9JvlIup8DdWIBbe;sysKs8ExTw2GkZg8_Q_CZg;Mericle_;\N;23;1;308;55628;4569,8281,12038,17435,23974,33456,38538,43618,48424,55628;0;2025-04-23 18:20:13
Fw7sGUQv5bQo9JvlIup8DdWIBbe;2DYnpCx8S-mWnBq0Hy95-g;Kurisu-tina_;\N;24;1;304;55984;4507,8181,12025,17355,23865,34254,38992,43971,48804,55984;0;2025-04-23 18:20:13
Fw7sGUQv5bQo9JvlIup8DdWIBbe;UEKFwh3QTcuCqmf0L_VFlA;DvinJo;\N;25;1;300;56724;4609,8378,12261,17792,24325,32907,38938,44464,49299,56724;0;2025-04-23 18:20:13
Fw7sGUQv5bQo9JvlIup8DdWIBbe;RbzUxnJhTbu4P_-Ckgg9Ag;Flueffel.dpk;\N;26;1;297;57025;4839,8921,12938,18228,24498,34034,38712,43692,48569,57025;0;2025-04-23 18:20:13
Fw7sGUQv5bQo9JvlIup8DdWIBbe;XoQlszEDTTGx8uQ7mek_vw;Phosphorescentt;\N;27;1;294;57108;4548,8772,12987,18275,25182,34434,39065,44265,49159,57108;0;2025-04-23 18:20:13
Fw7sGUQv5bQo9JvlIup8DdWIBbe;7iWUerMDQVmgQHWzBvzNxA;Wedgemania;\N;28;1;291;58218;5380,9306,13375,18875,25945,35337,40392,45861,50809,58218;0;2025-04-23 18:20:13
Fw7sGUQv5bQo9JvlIup8DdWIBbe;uJ6DaJRbRX6riNklD3XqvQ;CatBagasm;\N;29;1;288;58662;4481,8205,11934,17408,23585,31469,36292,46642,51534,58662;0;2025-04-23 18:20:13
Fw7sGUQv5bQo9JvlIup8DdWIBbe;MPvgbR3LT3mw8O7H3iSDVg;Shantiyay;\N;30;1;285;58855;4439,8165,12012,17482,24242,35128,40545,46235,51344,58855;0;2025-04-23 18:20:13
Fw7sGUQv5bQo9JvlIup8DdWIBbe;0fyhJszSRPKBsml0CLHG8Q;BavvFC;\N;31;1;282;61935;4515,8198,11972,17264,23444,40263,44912,49927,54724,61935;0;2025-04-23 18:20:13
Fw7sGUQv5bQo9JvlIup8DdWIBbe;u9dzA3pATY6jIypoxhuRaQ;Xcu83;\N;32;1;280;62729;5122,9168,13095,18558,26817,38764,44412,49551,54969,62729;0;2025-04-23 18:20:13
Fw7sGUQv5bQo9JvlIup8DdWIBbe;4bKoFJuITLO3BH77dmJXnQ;Cerrmor;\N;33;1;278;69939;4734,9697,14138,20185,27433,44039,49578,55761,61309,69939;0;2025-04-23 18:20:13
Fw7sGUQv5bQo9JvlIup8DdWIBbe;7Dc6IurATf2Pq2H9NfEJ4Q;Rivway;\N;34;1;0;-1;;0;2025-04-23 18:20:13
Fw7sGUQv5bQo9JvlIup8DdWIBbe;JNG1r-xfRIq6YccFjZYEbQ;Steexow;\N;35;1;0;-1;;0;2025-04-23 18:20:13
Fw7sGUQv5bQo9JvlIup8DdWIBbe;aY4FLllFRYiRA_0Qzm77AQ;Bzit14;\N;36;1;0;-1;;0;2025-04-23 18:20:13
Fw7sGUQv5bQo9JvlIup8DdWIBbe;F4aNYLSUS4iB3_Td_a4c8Q;Evo.Chris92;\N;37;1;0;-1;;0;2025-04-23 18:20:13
Fw7sGUQv5bQo9JvlIup8DdWIBbe;DE3yRs0pQJ-KfDJyFNeazQ;Evo.Palli;\N;38;1;0;-1;;0;2025-04-23 18:20:13
Fw7sGUQv5bQo9JvlIup8DdWIBbe;r45HJ_gGTZyKb0YMnDQaEw;FaZe_Meloen;\N;39;1;0;-1;;0;2025-04-23 18:20:13
Fw7sGUQv5bQo9JvlIup8DdWIBbe;jLUHkQF9QIaZ8zUt7yuIyw;FemboyGoonerTM;\N;40;1;0;-1;;0;2025-04-23 18:20:13
