map_uid;login;ubiname;team;position;round;total_points;score;checkpoints;end_match;time
jWPhzLJGafQDPSoXtnLT6PZfmH2;Vq5ZN29fS_mQx8OZSIbdnA;indiedriver;\N;1;1;0;67165;23714,33688,39652,47838,57547,61517,66068,67165;0;2025-04-09 18:00:25
jWPhzLJGafQDPSoXtnLT6PZfmH2;duzYCzPgSsCSPOosBZJu6w;Liffey.;\N;2;1;0;46702;3793,13764,19658,27688,37464,41152,45638,46702;0;2025-04-09 18:00:25
jWPhzLJGafQDPSoXtnLT6PZfmH2;Z4Dl1Gb9QiS_EwV-Mtet5w;HUGH_JAN0S;\N;3;1;0;46977;3778,13752,19704,27835,37499,41335,45882,46977;0;2025-04-09 18:00:25
jWPhzLJGafQDPSoXtnLT6PZfmH2;V_vWwMxbQqO0GgDYtK3zTg;KNACKII-U.U-;\N;4;1;0;47048;3798,13692,19634,27968,37674,41335,45922,47048;0;2025-04-09 18:00:25
jWPhzLJGafQDPSoXtnLT6PZfmH2;FlcTcBmzRJ-c4Lxp-Mz3ZQ;DrShnizzle;\N;5;1;0;47435;3824,13844,19906,27915,37826,41642,46318,47435;0;2025-04-09 18:00:25
jWPhzLJGafQDPSoXtnLT6PZfmH2;jBT0kLm1RLOrAaPEk38wAA;miles.TM;\N;6;1;0;47332;3764,13668,19624,27868,37882,41608,46232,47332;0;2025-04-09 18:00:25
jWPhzLJGafQDPSoXtnLT6PZfmH2;RbzUxnJhTbu4P_-Ckgg9Ag;Flueffel.dpk;\N;7;1;0;47708;3829,13748,19723,27848,37617,41294,46508,47708;0;2025-04-09 18:00:25
jWPhzLJGafQDPSoXtnLT6PZfmH2;o6R6oiSaQF-bUrczGVMJmg;br4MMO;\N;8;1;0;51766;3903,14031,20064,28408,38294,46047,50665,51766;0;2025-04-09 18:00:25
jWPhzLJGafQDPSoXtnLT6PZfmH2;qmZlwJ84TIWLyZtTG0kL1g;DingDingDingTM;\N;9;1;0;75641;3789,13842,19952,28432,63478,68841,74293,75641;0;2025-04-09 18:00:25
jWPhzLJGafQDPSoXtnLT6PZfmH2;Hp6vj6FuTHiHS7xyeZYVmg;Javas..;\N;10;1;0;59344;3759,13778,19824,39875,49808,53728,58252,59344;0;2025-04-09 18:00:25
jWPhzLJGafQDPSoXtnLT6PZfmH2;WwXdJAddS12tI1EisMgG2w;AmongUs777;\N;11;1;0;49859;3829,14502,21493,30012,39898,43697,48564,49859;0;2025-04-09 18:00:25
jWPhzLJGafQDPSoXtnLT6PZfmH2;DAdmC9SLQZm3aIce2pOjQQ;ZeManiaks;\N;12;1;0;50153;3788,14422,20467,29428,40056,44134,49052,50153;0;2025-04-09 18:00:25
jWPhzLJGafQDPSoXtnLT6PZfmH2;3QiPnsyzSV-E7OrXhNTZ2A;FighterDE;\N;13;1;0;51173;3908,14721,21182,29575,40227,44741,49845,51173;0;2025-04-09 18:00:25
jWPhzLJGafQDPSoXtnLT6PZfmH2;q7p97huAQhO6TaRAbjOpEQ;shockz92;\N;14;1;0;51559;3766,14484,21094,29515,40288,45097,50242,51559;0;2025-04-09 18:00:25
jWPhzLJGafQDPSoXtnLT6PZfmH2;Ba3czhCLQQ-zFTr52XBc5w;Sampler.4PF;\N;15;1;0;51589;3778,14054,20678,29652,41508,45465,50371,51589;0;2025-04-09 18:00:25
jWPhzLJGafQDPSoXtnLT6PZfmH2;ExUiDxJmRoGTjZ0CrK0Jaw;Daikster;\N;16;1;0;52674;3878,14578,21273,29692,41082,45416,51183,52674;0;2025-04-09 18:00:25
