map_uid;login;ubiname;team;position;round;total_points;score;checkpoints;end_match;time
UgmzpEric7j7pOg3JyyEaIppR97;JvRadosZS-SZUPngNn5IYA;Venn.jpg;\N;1;1;500;48226;8189,13052,18692,25315,27704,33462,36222,41677,45729,48226;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;yToepUzsSiShKXUuV55hkA;Tanto.22;\N;2;1;485;48409;8164,12914,18798,25563,27938,33682,36438,41956,45932,48409;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;b2fWAvZLS-2mCDR63PjK0Q;Novu.;\N;3;1;470;48474;8174,12973,18678,25441,27793,33548,36302,41872,45923,48474;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;XJ9X2StARWCKbzFAkFqeTg;Susuwi;\N;4;1;455;48638;8243,13122,18812,25617,27997,33762,36572,42132,46149,48638;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;Z5wTLmN_SWCZ0wJjRbvZRw;Firestorrm_tm;\N;5;1;443;48642;8247,13253,18952,25666,27998,33805,36588,42083,46103,48642;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;eUoobETZQnaDzkMcunurdA;Marius89..;\N;6;1;431;48704;8208,13103,18782,25521,27922,33752,36555,42103,46182,48704;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;V_vWwMxbQqO0GgDYtK3zTg;KNACKII-U.U-;\N;7;1;420;48831;8259,13124,18835,25583,27992,33845,36625,42228,46284,48831;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;RbzUxnJhTbu4P_-Ckgg9Ag;Flueffel.dpk;\N;8;1;409;48831;8224,13066,18890,25638,28024,33858,36625,42158,46302,48831;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;duzYCzPgSsCSPOosBZJu6w;Liffey.;\N;9;1;399;48867;8327,13244,18922,25669,28053,33865,36648,42242,46318,48867;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;o5CwDJbNTdu_4Dc67_rg2w;JUT.Harry;\N;10;1;390;48879;8299,13236,18908,25628,28042,33868,36702,42204,46353,48879;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;Vq5ZN29fS_mQx8OZSIbdnA;indiedriver;\N;11;1;381;48912;8209,13096,18785,25525,27942,33818,36685,42319,46423,48912;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;cncibHERSXeVpllZONllTA;Rh3torique;\N;12;1;373;48937;8229,13133,18765,25410,27783,33598,36362,42202,46334,48937;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;jBT0kLm1RLOrAaPEk38wAA;miles.TM;\N;13;1;365;49061;8293,13127,18928,25632,27993,33822,36662,42363,46488,49061;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;N9Gp-WAKQWWEBi0AG63oGQ;Yann.TM;\N;14;1;358;49131;8239,13183,18918,25741,28211,33998,36862,42587,46627,49131;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;LASf-NPUSm2VlWOV6W3ybA;mshk_frede;\N;15;1;351;49182;8267,13169,18915,25708,28093,33938,36755,42477,46531,49182;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;DpUXqideSxy0NNdHESsgAA;Sabian-;\N;16;1;344;49238;8322,13247,18932,25722,28146,34048,36835,42531,46688,49238;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;zmwNsC3ZRj-q7EYwMrrUxQ;xEmlanx;\N;17;1;338;49259;8389,13293,18957,25750,28138,33905,36808,42698,46744,49259;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;QreS3eyCQU2p5EHybCIgfw;PebTM;\N;18;1;332;49384;8244,13138,18884,25786,28204,34058,36942,42484,46719,49384;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;PffPA7E-Q1uEP58ej4oMJQ;Mantaaa81;\N;19;1;327;49456;8312,13208,19008,25813,28178,34112,37005,42701,46888,49456;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;P5wa0Zj4TGmG2AyT6hi5wg;SparkTheYoofer;\N;20;1;322;49507;8282,13173,18842,25623,28076,33952,36792,42434,46884,49507;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;ezwuFGOQQmmpxPMinTfexA;Demotivator13;\N;21;1;317;49508;8210,13114,19228,26075,28442,34295,37162,42863,46933,49508;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;Owq0KjrFTtiBpjDbhpnKiQ;Sleepyhead212;\N;22;1;312;49599;8231,13156,18892,25581,27974,33838,36735,42289,46778,49599;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;XcxFZi4cQ1W3JvGZ4u7U6A;JarCrab;\N;23;1;308;49670;8234,13162,18850,25609,28064,34238,37218,42826,46988,49670;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;aeb2be88QRmM-CGVjjS1tQ;TheRenoFella;\N;24;1;304;49673;8248,13279,18941,25859,28277,34065,36822,42743,47007,49673;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;yRigbMYiSeS2a2vLZIjbTA;InfernoTM.;\N;25;1;300;49683;8192,13078,18795,25420,27711,33482,36373,42758,46992,49683;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;sysKs8ExTw2GkZg8_Q_CZg;Mericle_;\N;26;1;297;49719;8393,13363,19048,25951,28324,34128,36988,42731,47014,49719;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;2F_SzL9qRKeIzJ2GlbgriA;J4K_TM;\N;27;1;294;49849;8709,13627,19422,26093,28418,34288,37025,42504,46702,49849;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;dViK17ZjTNinEt80VhaCBw;silverfalcon;\N;28;1;291;49861;8337,13333,19381,26275,28748,34685,37485,43091,47273,49861;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;Z4Dl1Gb9QiS_EwV-Mtet5w;HUGH_JAN0S;\N;29;1;288;49934;8259,13176,18966,25904,28347,34318,37118,42777,47354,49934;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;zWDfTnVSRoyVmaiQVFjcsA;iocto._.;\N;30;1;285;50008;8182,13064,18862,25639,28068,33882,36805,43462,47459,50008;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;ALtDET1rTbeob3FQ3Ehlkg;Sombot;\N;31;1;282;50123;8247,13137,18895,25673,28092,34399,37604,43359,47507,50123;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;FlcTcBmzRJ-c4Lxp-Mz3ZQ;DrShnizzle;\N;32;1;280;50324;8228,13379,19735,26505,28878,34725,37508,43414,47568,50324;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;uJ6DaJRbRX6riNklD3XqvQ;CatBagasm;\N;33;1;278;50370;8406,13441,19375,26255,28664,34608,37505,43077,47177,50370;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;2DYnpCx8S-mWnBq0Hy95-g;Kurisu-tina_;\N;34;1;276;50539;8225,13197,18825,25553,27914,33708,36545,42081,47674,50539;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;9GuHQuNSQF2p5Q0gj2ZwIw;Import_TM;\N;35;1;274;50604;8238,13539,20017,27104,29629,35508,38372,43833,48044,50604;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;mJZx-6H9S6uOl96QKAnZcQ;Bimy..;\N;36;1;272;51053;8279,13133,18852,25547,27954,33812,36632,42482,48203,51053;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;3QiPnsyzSV-E7OrXhNTZ2A;FighterDE;\N;37;1;270;51241;9360,14462,20311,27247,29729,35608,38488,44326,48497,51241;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;qmZlwJ84TIWLyZtTG0kL1g;DingDingDingTM;\N;38;1;268;51782;8566,13817,19635,26589,28987,34888,37762,43559,47825,51782;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;U9b133pIQ3-qPM7UiJSCbg;Hagn99;\N;39;1;266;51862;8303,13214,18998,25920,28319,34619,37848,43775,49268,51862;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;LNQuQmpvTRGxqjRXrgMM_Q;Titan_3X;\N;40;1;265;52132;8332,13789,20486,27858,30418,36485,39528,45255,49333,52132;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;19yViem4SO-1U9RfgLBjIQ;Ban_Mr_Greedy;\N;41;1;264;52154;8469,13602,19660,26656,29199,35834,39088,45113,49414,52154;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;MPvgbR3LT3mw8O7H3iSDVg;Shantiyay;\N;42;1;263;52425;8628,14334,20644,27904,30504,36592,39455,45382,49603,52425;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;1VEqQwdwS3uI7uWB5YK6JA;Potatisfisken;\N;43;1;262;52529;8290,13346,19827,27652,30478,36558,39448,45533,49763,52529;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;PAAuuw9WQaOoZ1mfOD5blw;Shigaon.;\N;44;1;261;53234;11934,16821,22598,29588,32096,37955,40725,46538,50649,53234;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;CNke8VXZSQiAh3r4D5Nc3g;Mayonnaisius;\N;45;1;260;53487;8319,13214,18908,25638,28037,38172,41008,46740,50847,53487;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;oGv5QrLITj6fqLQh_lu0UQ;h3llomarcTwitch;\N;46;1;259;53524;8564,13637,20026,27094,29617,36224,39362,45571,50339,53524;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;SOBQzn2FRaSAPlsL4yjhFA;BergSouzaBr;\N;47;1;258;53593;8303,13979,20322,27233,29682,36454,39674,45771,50494,53593;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;g99d814yQPOLAAPgV3vISw;Tundil897;\N;48;1;257;54491;8307,13556,20316,27567,30116,36719,39943,46419,51253,54491;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;WG1bAmRCQ06uBGW0OSg-bw;HavoccTM;\N;49;1;256;54537;8379,13429,19897,27036,29537,37199,40649,46852,51042,54537;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;U-X3mdQhTbSIaKDTp3QAYw;Funkerberg;\N;50;1;255;55762;8335,13942,19785,26771,31188,38669,41975,48636,52942,55762;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;KM0XVt-5TcOFR0_RP-SstQ;Fatinho-_-;\N;51;1;250;56485;8243,13142,18862,25718,28228,41162,43972,49734,53844,56485;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;byH3Sb1hQySCWfYeTLQR-g;hekaria;\N;52;1;235;57345;8421,13966,20330,27877,30749,38904,42679,49338,53975,57345;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;3q2MNAJISh6g6O2zCeJ2NA;LeftIsFaster;\N;53;1;220;57701;8440,13412,19714,26794,29302,35155,37928,44159,48759,57701;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;SNUcXknMTxmNwQy9ShUH9w;floppydriver__;\N;54;1;205;59066;8590,14272,21337,29390,32243,39234,42828,49384,55153,59066;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;003e_qkLTb-2QCmx6q_5Ew;quizziNN;\N;55;1;193;59122;8321,13314,19233,26275,28756,42485,45278,50955,56479,59122;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;ovK3V3ifQxC9uiXKVteTgA;R4JDO;\N;56;1;181;61333;8379,13407,19933,27075,32799,44719,47964,54134,58294,61333;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;3nvFSPdWRLid7u3tOHpkyA;krni2020;\N;57;1;170;67704;17859,23362,29581,37582,41286,48439,51739,57981,64528,67704;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;WwXdJAddS12tI1EisMgG2w;AmongUs777;\N;58;1;0;-1;;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;F4aNYLSUS4iB3_Td_a4c8Q;Evo.Chris92;\N;59;1;0;-1;;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;cwCTRp2jTGqJ54I6fANJaA;Thurman__Merman;\N;60;1;0;-1;;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;ZdCDGeBhTPK7Otl9GQa1-A;Archy.TM;\N;61;1;0;-1;;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;3T2Qw28RTAmYQtnWfN6MCg;Baptistar1;\N;62;1;0;-1;;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;_DiLI0QySGie2W6alyeHQA;Dr.Tongue.;\N;63;1;0;-1;;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;DE3yRs0pQJ-KfDJyFNeazQ;Evo.Palli;\N;64;1;0;-1;;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;vXH8QC0-S3ajP1WP9oOIdw;LazyHunterTM;\N;65;1;0;-1;;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;i4AUjXKnRfuGuHMOaXLP7w;Linden.CC;\N;66;1;0;-1;;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;NGcBSsHMSq6Z_mvrXsojKg;Mr.Joermungandr;\N;67;1;0;-1;;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;SfRIcxXlT0GVUJUhNYGwKQ;Opsic;\N;68;1;0;-1;;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;HB9L-YUGQTGHnfa1FRg9Vg;RareGanyu;\N;69;1;0;-1;;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;9Xjt5MYTR1eviSh3mFc1xA;Retoxi;\N;70;1;0;-1;;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;6AJeY_EeQVmfcOJWpPzIxw;Zenarai;\N;71;1;0;-1;;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;hJGYa4qwQqaEyFHHlmf6bw;drdrummie;\N;72;1;0;-1;;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;gt2HZEy0RGOJIP4PQ3JMYw;schLuuud.cH;\N;73;1;0;-1;;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;j3SNxkx3SIutvBXlcVT3jw;texmoons;\N;74;1;0;-1;;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;WEr112-mTlecBfmArSleTg;thornydre;\N;75;1;0;-1;;0;2025-03-26 19:20:34
UgmzpEric7j7pOg3JyyEaIppR97;JvRadosZS-SZUPngNn5IYA;Venn.jpg;\N;1;2;1000;48252;8128,12934,18678,25284,27656,33452,36235,41736,45779,48252;0;2025-03-26 19:21:55
UgmzpEric7j7pOg3JyyEaIppR97;yToepUzsSiShKXUuV55hkA;Tanto.22;\N;2;2;955;48368;8186,12987,18702,25366,27734,33498,36282,41796,45867,48368;0;2025-03-26 19:21:55
